,X1,X2,X3,X4,Y1,Y2,Y3,Y4
ENSMUSG00000015790,1055.601402,1189.572648,1267.757335,1295.067608,1153.109705,1056.711069,1026.206359,1135.235887
ENSMUSG00000014873,516.3996693,506.2011267,510.2638604,662.9512753,456.2520652,533.5867774,514.7372662,512.4575791
ENSMUSG00000014867,1109.253316,1298.667718,1188.73417,1387.572437,1372.749649,1359.172023,1192.883188,1341.642412
ENSMUSG00000052406,1019.38636,928.6172394,894.090658,999.0521545,912.5041304,1055.759934,874.2363093,864.7721647
ENSMUSG00000014852,25.48465901,21.81901408,23.70694927,25.69578587,31.9476282,25.68064704,26.14538495,14.23493275
ENSMUSG00000015488,751.1267917,803.8124788,815.0674938,976.4398629,787.7087077,761.8591956,813.7751066,750.8927026
ENSMUSG00000036067,415.8023311,468.6724225,545.2598331,600.2535578,342.4386397,473.6652677,459.1783232,418.1511496
ENSMUSG00000036040,108.6451252,142.2599718,165.9486449,175.7591753,140.7692367,168.3509084,147.8848336,137.900911
ENSMUSG00000009216,1958.29485,2365.181127,2384.241755,2108.082272,2323.191588,2405.420606,2252.588322,2490.223548
ENSMUSG00000009614,219.9728462,279.2833803,243.8429067,240.5125557,270.5564763,250.1485249,235.3084646,250.0010064
ENSMUSG00000009621,303.1333124,232.1543098,226.9093715,222.0115899,224.6317608,269.1712264,235.3084646,255.3391062
ENSMUSG00000109946,443.9695858,481.763831,447.045329,579.6969291,453.256975,447.9846206,458.3612799,398.578117
ENSMUSG00000026918,1388.243267,1407.762789,1474.346464,1849.068751,1580.409232,1596.004657,1469.043817,1590.753735
ENSMUSG00000026917,603.5840291,596.0954648,615.2517786,634.1719952,502.1767807,571.6321804,576.0155122,580.9631929
ENSMUSG00000085929,8.047787054,7.85484507,11.28902346,6.166988608,14.97545072,6.657945529,7.353389517,18.68334924
ENSMUSG00000015846,704.1813672,645.8428169,746.2044507,727.7046557,754.7627161,725.7160627,643.0130611,630.7854575
ENSMUSG00000026837,388.9763743,492.2369577,407.5337469,381.3254623,166.7266846,387.1119758,470.6169291,519.5750454
ENSMUSG00000026833,13748.30288,15037.66451,16660.34082,17359.0451,16277.31657,16071.32937,14851.3957,14939.56192
ENSMUSG00000035829,410.4371398,370.9232394,396.2447234,346.3791935,413.3224398,399.4767318,451.8249337,400.3574836
ENSMUSG00000026831,50.96931801,50.62011267,56.4451173,62.69771751,53.91162258,52.31242916,53.92485646,46.26353144
ENSMUSG00000035772,407.7545441,425.0343943,412.0493563,347.4070249,428.2978905,436.5709997,427.3136353,383.453501
ENSMUSG00000026829,14.75427627,9.600366197,13.54682815,4.111325739,10.98199719,19.02270151,10.62156264,15.12461605
ENSMUSG00000026821,1818.799874,1414.744873,1586.107796,1522.218355,1358.772562,1513.255905,1669.21942,1524.027488
ENSMUSG00000026816,403.7306506,356.9590704,425.5961844,530.3610203,483.2078765,354.7733832,404.4364235,427.0479825
ENSMUSG00000026812,1419.093117,1389.434817,1307.268917,1246.75953,1120.163714,1498.037744,1540.126582,1465.30839
ENSMUSG00000026807,32.19114822,35.7831831,46.28499619,42.14108882,45.92471553,43.75221348,45.75442366,33.80796528
ENSMUSG00000035666,700.1574737,702.5722535,619.767388,441.9675169,649.9345611,675.3059037,718.9980861,651.2481734
ENSMUSG00000026806,101.938636,92.51261971,82.40987126,106.8944692,101.8330649,96.06464264,98.04519357,125.4453449
ENSMUSG00000026805,17.43687195,1.745521127,31.60926569,75.03169473,15.9738141,7.609080605,19.60903871,9.786516267
