"","Pval","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000084093",0.000677044869954189,0.261464165205986,0.805115367477347,0.0709771138524042,-1.29416164468037,0.00715834523562942,2.56502905452536,0.0273407757505134,-2.09927701215772,0.194621822102829,1.75991368704801,0.0183212917669804,3.85919069920573
"ENSMUSG00000052534",0.120090887709184,0.285875855216536,0.42582844526549,0.627816625619064,-0.615795477075698,0.594969561138984,0.396200828079315,0.32086731247139,-1.04162392234119,0.999999062375039,-0.029627617186175,0.340903086716181,1.01199630515501
"ENSMUSG00000026667",0.00818727407917453,0.631033670421787,-0.275983151429821,0.405597792371079,0.446475914513548,0.0657295631935282,-1.24685134484648,0.0434937443009505,0.722459065943369,0.114997035757084,-0.970868193416658,0.0325294307570811,-1.69332725936003
"ENSMUSG00000054057",0.145502052592658,0.511949034412625,-0.501702012670739,0.999997847770418,-0.058562349701872,0.29500912640591,-1.58618857821179,0.572396742424566,0.443139662968867,0.471614353825928,-1.08448656554105,0.308367919098677,-1.52762622850992
"ENSMUSG00000026740",0.0166344099530128,0.592220229039173,0.430089719368673,0.40480953397851,-0.68672970890927,0.31393363911617,0.674033598080159,0.139878283215318,-1.11681942827794,0.118191943660342,0.243943878711487,0.0976027720319714,1.36076330698943
"ENSMUSG00000015083",0.0004772726122336,0.0499120505378878,1.60842822998718,0.845075070045232,-0.515022661216174,0.00247645384626438,3.02959432606058,0.196628467962237,-2.12345089120335,0.778190123678618,1.4211660960734,0.115327045123833,3.54461698727676
"ENSMUSG00000036160",0.0140985117722769,0.825957075920493,-0.419423001584886,0.223851245855807,0.404785666547698,0.925071274926694,-0.151545494876944,0.400432047328115,0.824208668132584,0.958944167160537,0.267877506707942,0.062275497643435,-0.556331161424641
"ENSMUSG00000036067",0.128867576526211,0.999999999999978,0.00257383576260857,0.697566567244326,-0.496930718821804,0.2576140883501,-1.66827320917284,0.452592669881202,-0.499504554584413,0.270038576289725,-1.67084704493545,0.417736686842247,-1.17134249035104
"ENSMUSG00000082895",0.126584760150866,0.80340759491158,-0.694711869636093,0.184613451372191,-1.9013957895087,0.994464396432233,-0.189824912631987,0.375342027809734,-1.20668391987261,0.919610700369433,0.504886957004106,0.212458643481589,1.71157087687671
"ENSMUSG00000053746",0.000994264377022134,0.15554038635393,-2.13178302841262,0.728439871743633,0.457077642137386,0.0132144257010665,-2.71299153345345,0.124757813655776,2.58886067055001,0.581011175245502,-0.581208505040822,0.0110283223361606,-3.17006917559083
"ENSMUSG00000068966",0.0142988182504033,0.95747548331527,-0.15687582557609,0.679738426666773,0.301562154137515,0.097481154524131,-1.14712528298996,0.0938179866532789,0.458437979713605,0.149653811781161,-0.990249457413873,0.0695263543912819,-1.44868743712748
"ENSMUSG00000026890",0.0834671145261921,0.675410641505495,0.626754158054471,0.858082040477506,0.422972401984025,0.383363596619635,0.98736268098842,0.846085392910123,-0.203781756070446,0.645967842883829,0.360608522933949,0.0870583908724608,0.564390279004395
"ENSMUSG00000026915",0.376007515401348,0.50549515984283,-0.708020595336854,0.928332927578118,0.151520100208041,0.99627374644814,-0.150098727004312,0.395566677013452,0.859540695544895,0.777732189322582,0.557921868332542,0.948769005292226,-0.301618827212353
"ENSMUSG00000062997",0.046869280144663,0.999984316344252,-0.0398566932520909,0.483932847703839,-0.596960561859776,0.365056901184155,0.383665104595103,0.531613771370066,-0.557103868607685,0.28214649509017,0.423521797847194,0.197602606616644,0.980625666454879
"ENSMUSG00000026872",0.0163771900111806,0.374896164257536,-0.50971371793997,0.112591186357944,-1.27379378982494,0.0993992813095829,-2.28441889298092,0.306161303579567,-0.76408007188497,0.139008799897925,-1.77470517504095,0.342426025414191,-1.01062510315598
"ENSMUSG00000086881",0.108808914802037,0.285781803346623,-1.07961440008129,0.736514134934412,-0.578130048782284,0.42844387210731,-1.65895187361488,0.861277805170183,0.501484351299004,0.926511502032949,-0.579337473533591,0.662665330760707,-1.08082182483259
"ENSMUSG00000044916",0.00155256645443548,0.987726498302651,0.295622097466731,0.998603725546711,0.101323176472245,0.045533886519013,1.64591350864817,0.997789805047749,-0.194298920994486,0.500382474794792,1.35029141118144,0.00229090815620525,1.54459033217593
"ENSMUSG00000087006",0.0875844147660356,0.197354926247771,-2.4778084657716,0.99954650025306,-0.302556057896556,0.292300226391233,-1.47762719518398,0.234749604285321,2.17525240787505,0.602004065241518,1.00018127058762,0.445084817865766,-1.17507113728743
"ENSMUSG00000005089",0.000119152826302869,0.240257746075416,1.31261268092972,0.399946278468224,0.894688069277634,0.0695511607812274,3.48766716040333,0.799749524973084,-0.417924611652088,0.181845338018593,2.1750544794736,8.64256510941797e-05,2.59297909112569
"ENSMUSG00000027115",0.0836910329271681,0.607395839632898,-1.4307363996235,0.459697688395631,-0.905126943908058,0.158365847165715,-1.29806182385093,0.9691600050163,0.525609455715443,0.999966311420424,0.132674575772573,0.922578067742642,-0.39293487994287
"ENSMUSG00000027351",0.0133369842940048,0.443045618301001,-0.561809045952871,0.224706389893958,0.33200397916318,0.113607396732683,-1.30774423241435,0.213575923514863,0.893813025116052,0.364072457881658,-0.745935186461483,0.0759648250861527,-1.63974821157753
"ENSMUSG00000033943",0.00880365362575797,0.137770428571306,-0.929071096745757,0.0138716540935648,-0.695982309507435,0.105603783764935,-1.25422294755452,0.891779358969052,0.233088787238322,0.901948903467388,-0.325151850808759,0.484036946035555,-0.558240638047082
"ENSMUSG00000035093",0.181187348013505,0.621079362102927,0.323429923211376,0.42499585214406,-0.589713130457187,0.979580549588048,0.0947747109563416,0.20143230548763,-0.913143053668563,0.771740777932676,-0.228655212255034,0.325457982975995,0.684487841413528
"ENSMUSG00000051319",0.00188266599332906,0.728270346558587,0.351475291682147,0.246913144266497,-0.889509553065994,0.0220230697979122,1.42479558048759,0.122480734459963,-1.24098484474814,0.0750364458766086,1.07332028880544,0.0479998172116138,2.31430513355358
"ENSMUSG00000014353",0.0865818395185934,0.780586318280202,0.611065828669196,0.812942563635206,0.509777486360927,0.250120796984421,1.22915738949621,0.999945649095045,-0.101288342308269,0.733080825907298,0.618091560827011,0.360337548188648,0.719379903135281
"ENSMUSG00000032802",0.00295575644609688,0.0348379750268191,-3.22933105005293,0.589593762987516,0.775392574133487,0.079754420339377,-2.70752009669181,0.0300549530789901,4.00472362418641,0.746873718324663,0.521810953361117,0.0649890350532332,-3.4829126708253
"ENSMUSG00000074698",5.35205960717029e-05,0.547730546303809,0.412330412243643,0.302559425488343,-0.42168581603673,0.524407292941778,0.451890961721285,2.74803981520355e-05,-0.834016228280373,0.999824425511091,0.0395605494776419,0.000502242540683429,0.873576777758015
"ENSMUSG00000103285",0.185386554238943,0.999703396543307,0.261974989929945,0.213791240325722,-2.31265615528734,0.999999696722733,-0.0688504720580922,0.190456092166677,-2.57463114521728,0.998303219862788,-0.330825461988037,0.245838390671165,2.24380568322924
"ENSMUSG00000095362",0.0500243188170372,0.595811909191849,0.679291373972356,0.128336351982483,1.70773192415231,0.166096074334321,1.51519504884213,0.181910347623427,1.02844055017995,0.241598036175278,0.835903674869777,0.980215261090875,-0.192536875310174
"ENSMUSG00000078862",0.0493428503168169,0.849333731745533,0.491573128764048,0.441136930570406,1.05136027439189,0.376610979699485,1.16713657222249,0.335397105340576,0.559787145627841,0.0685312551569265,0.675563443458444,0.998977445675581,0.115776297830604
"ENSMUSG00000063018",0.015992752816083,0.144636649660284,-1.69365586390832,0.999650909219287,0.183365575437226,0.0904662738632377,-2.47161340372871,0.131804213326138,1.87702143934555,0.542273044221297,-0.77795753982039,0.085807334903437,-2.65497897916594
"ENSMUSG00000037341",0.00352054165163251,0.316869604584069,-0.990165440085292,0.379366903815616,1.0541330194343,0.7902011470096,-0.409397056735536,0.0919241788895683,2.04429845951959,0.599299677629389,0.580768383349756,0.00644405678265825,-1.46353007616983
"ENSMUSG00000045284",0.0776673264078527,0.999964450507553,-0.0934750103822694,0.292018246160235,-1.48982157365703,0.640188663761454,0.626739022801551,0.318430813490868,-1.39634656327476,0.483687236766053,0.720214033183821,0.190627797559191,2.11656059645858
"ENSMUSG00000025626",0.334457574443472,0.973030696564609,-0.31028673847195,0.591926750027129,0.230798879239482,0.750603350876077,-0.43735366934889,0.848349885553792,0.541085617711433,0.999888806005672,-0.12706693087694,0.505651444860882,-0.668152548588373
"ENSMUSG00000031383",0.00263797643400275,0.224977717267177,-3.08332126158821,0.885974041917467,1.05624849655213,0.0227244382617695,-3.48519962154558,0.187639558842108,4.13956975814034,0.94788673314572,-0.401878359957371,0.0183465254608278,-4.54144811809771
"ENSMUSG00000031402",0.0280327737063055,0.156920332428583,-1.16606708323903,0.403419304822897,-0.315301434038788,0.110748373480284,-1.73571695531679,0.293504411309576,0.850765649200244,0.69260837885333,-0.56964987207776,0.147003827521821,-1.420415521278
"ENSMUSG00000006678",0.00121673563112408,0.121380223639711,-1.47845157263177,0.0050753279044391,-0.827714223156484,0.0384472026363027,-2.43811878883286,0.460361558517305,0.650737349475285,0.211778063810969,-0.959667216201088,0.0726309441465686,-1.61040456567637
"ENSMUSG00000082284",0.0344770431703577,0.387817905582833,0.8837446121964,0.240356188890639,-1.16543869968817,0.350991220352082,0.964247474107833,0.103313473554253,-2.04918331188457,0.999929850689835,0.0805028619114333,0.0991759997463143,2.129686173796
"ENSMUSG00000086370",0.0211813324775367,0.0975553996633264,0.723778484520938,0.664903667377728,-0.589963471483976,0.0525356872109132,0.582776496547451,0.231980226224105,-1.31374195600491,0.996559205495654,-0.141001987973487,0.290032635052594,1.17273996803143
"ENSMUSG00000031231",0.000608771585833297,0.0566997326564405,1.05047790791012,0.721865596718416,-0.696593389792748,0.00268539547609981,2.08167956693804,0.254307411538053,-1.74707129770287,0.408790149303963,1.03120165902792,0.159929554795776,2.77827295673079
"ENSMUSG00000025257",0.047246347415288,0.723377312104332,-0.714672294759211,0.999957272292689,0.0733816731227891,0.70024010242354,-0.418374782348758,0.58497808512552,0.788053967882,0.968741023832112,0.296297512410452,0.0451785600041261,-0.491756455471548
"ENSMUSG00000046873",0.0890313772648525,0.548613024373008,-0.652952936502273,0.66525022802375,-0.129030269525951,0.208818057464818,-0.673417410675157,0.689765228658057,0.523922666976323,0.999999985415087,-0.0204644741728841,0.297674432421336,-0.544387141149207
"ENSMUSG00000040990",0.0378419672319651,0.167061737314125,-1.08791988444836,0.449660952766515,-0.991990660406559,0.215470606711154,-2.67286965038987,0.999958521504955,0.095929224041801,0.37811283724199,-1.58494976594151,0.340282683421617,-1.68087898998332
"ENSMUSG00000027536",0.00165059129755763,0.0050250766139035,-1.52309945979602,0.893202417293619,-0.781823791608775,0.0539541822815074,-2.72357985659839,0.648952521958636,0.741275668187242,0.190339874680838,-1.20048039680238,0.0815074393087741,-1.94175606498962
"ENSMUSG00000078784",0.0244624794927289,0.48368829893684,0.370379738792834,0.880634417465856,-0.386261124755024,0.0514447450046716,0.635726292257549,0.519143233918984,-0.756640863547858,0.780094106712384,0.265346553464716,0.330439765619744,1.02198741701257
"ENSMUSG00000102758",0.00913427140194839,0.618646047193859,0.701927061217689,0.349128467230051,-1.14657480441175,0.0609244237965786,1.91276746518644,0.175864168453818,-1.84850186562944,0.495587634424713,1.21084040396875,0.101622602649853,3.05934226959819
"ENSMUSG00000027712",0.0108147227918311,0.113363968469194,-1.18148361863752,0.999996733347112,0.0575595322767132,0.0572925829035698,-1.97788512234395,0.126089153320245,1.23904315091424,0.319780753194803,-0.796401503706427,0.0454826032033537,-2.03544465462066
"ENSMUSG00000059834",0.0121843345597543,0.999274406169895,0.0556702494802755,0.4674620435561,-0.654747980796927,0.019751557691135,0.793200449039656,0.407793337977702,-0.710418230277203,0.0552671956424404,0.737530199559381,0.109178345528666,1.44794842983658
"ENSMUSG00000056476",0.00116527807763953,0.310602720181512,-1.41775403215854,0.96860390795355,0.392893823688646,0.0652009514249061,-1.12724699904026,0.211309937726074,1.81064785584719,0.97149125917227,0.290507033118283,0.000810403680803429,-1.52014082272891
"ENSMUSG00000027762",0.00795422702836423,0.0795478733069527,1.79273084228212,0.880915743629639,-0.555625664922549,0.0420009614559536,3.28523551640442,0.196339610660611,-2.34835650720466,0.6620075811449,1.49250467412231,0.139818783294036,3.84086118132697
"ENSMUSG00000027763",0.0534420834898893,0.88407761182408,0.169201466813474,0.130861058095719,-1.19017551871351,0.941814168782106,-0.184171164328419,0.102916031968493,-1.35937698552698,0.618181612312429,-0.353372631141893,0.1715770235852,1.00600435438509
"ENSMUSG00000027770",0.322644376552716,0.988382238368302,-0.120180890549538,0.359845101499492,-0.834066563730173,0.992046838787582,-0.078386467687036,0.47180635715096,-0.713885673180634,0.999969886280966,0.0417944228625022,0.421781697581655,0.755680096043136
"ENSMUSG00000027787",0.0178153132962911,0.423770879688332,-0.922735677801991,0.865201964601649,0.2411940174475,0.121943501269502,-0.469519227055823,0.306520505109766,1.16392969524949,0.819686183940722,0.453216450746168,0.0205205669706869,-0.710713244503323
"ENSMUSG00000042766",0.149437449986602,0.395634827779736,-1.25615935536116,0.998773874988908,-0.120259127030686,0.303265322255641,-0.533651492953156,0.454056050533005,1.13590022833047,0.709173605947798,0.722507862408001,0.724922621976769,-0.41339236592247
"ENSMUSG00000001025",0.0589994950129958,0.330731402539469,-2.13354525027898,0.71051377850331,-2.35697120664159,0.177991436878486,-4.41085498036284,0.999949961480138,-0.223425956362615,0.293676532226547,-2.27730973008386,0.344909653131987,-2.05388377372125
"ENSMUSG00000094613",0.00370253194053864,0.315336306579219,3.45142147206749,0.2902222260933,-1.06609751140743,0.283500753740927,4.14472794443579,0.0164983223804839,-4.51751898347492,0.986643554723561,0.693306472368306,0.0146646893945657,5.21082545584322
"ENSMUSG00000027965",0.0140823312408214,0.824381439273012,0.848982597948838,0.16983495844132,-1.68659126229159,0.12956828402292,2.78165442783903,0.0975790511234664,-2.53557386024042,0.705711700845797,1.9326718298902,0.0666118554921142,4.46824569013062
"ENSMUSG00000000340",0.000190465293821601,0.192185593927546,0.536583616835384,0.599088350738568,-0.431761834583824,0.000624386638024554,1.43063224539614,0.154918656267933,-0.968345451419208,0.154873025072138,0.894048628560758,0.0472671742838059,1.86239407997997
"ENSMUSG00000028256",0.0296762424274311,0.995855069970843,0.13791255055433,0.366353721886892,-0.746898189995117,0.0503272989869998,0.560967801505416,0.322126942013906,-0.884810740549447,0.820332237642125,0.423055250951086,0.151002322055726,1.30786599150053
"ENSMUSG00000054942",0.0125251990100146,0.436143544397106,-1.32324513648308,0.371340578750427,-0.619458864830192,0.0436779994769668,-1.34048868879784,0.79455773192845,0.703786271652888,0.999999998748327,-0.0172435523147611,0.213429865366803,-0.721029823967649
"ENSMUSG00000025437",0.0594385107826055,0.999370636094823,-0.14931267097345,0.194964381743232,1.03307663647481,0.917376104600585,0.266835468039065,0.313439843636707,1.18238930744826,0.868385439762576,0.416148139012515,0.0876911829204279,-0.766241168435747
"ENSMUSG00000104546",0.102283230947003,0.766919360968346,0.438658732897729,0.182164448408792,-1.14097757656489,0.998781320360551,0.110562978685929,0.0886964545513478,-1.57963630946262,0.974052811256843,-0.3280957542118,0.158909364031288,1.25154055525082
"ENSMUSG00000039068",0.0277559163275457,0.913537015722783,-0.160161465830535,0.3352179423717,-0.230121088946854,0.0690064998235974,-0.981734246064528,0.997674352695067,-0.0699596231163194,0.083408124542943,-0.821572780233993,0.100508106085443,-0.751613157117674
"ENSMUSG00000086765",0.0936335202701251,0.997084545002099,0.325981230434499,0.249896749911514,2.22677491109622,0.217110910175854,2.52028554138903,0.488452137347807,1.90079368066172,0.431067888311908,2.19430431095453,0.97769189059221,0.293510630292818
"ENSMUSG00000040410",0.00463913460626013,0.370357306100381,0.607035151551494,0.943440218061379,-0.299570586175296,0.0157917355044326,1.33386007974174,0.394171799776763,-0.90660573772679,0.471214752496517,0.726824928190247,0.137865086545703,1.63343066591704
"ENSMUSG00000028261",0.0119644074908216,0.405329048575719,0.545959021879882,0.726421156262548,-0.514423206024815,0.0328697783010526,1.13201483799855,0.28468714862406,-1.0603822279047,0.482088212704759,0.586055816118673,0.139901255964461,1.64643804402337
"ENSMUSG00000073888",0.0185743207311695,0.963811171296766,0.24483306319403,0.32358155275865,-1.03007934941678,0.0439403322165839,1.46744641956615,0.242604726800696,-1.27491241261081,0.237284495183532,1.22261335637212,0.0801954426904417,2.49752576898293
"ENSMUSG00000035539",0.00170778725899666,0.165229527970621,-4.31524635512828,0.861129572982698,-1.45191593982494,0.00408629652704762,-4.00578685652595,0.217267637792523,2.86333041530335,0.988152934541477,0.309459498602337,0.00674299378833954,-2.55387091670101
"ENSMUSG00000039005",0.272093856322782,0.999990788164571,-0.0933548384589203,0.999983013088537,0.0959699899851692,0.306172978374514,-1.78407616671218,0.998336530299551,0.189324828444089,0.320269748637084,-1.69072132825326,0.297757585832283,-1.88004615669735
"ENSMUSG00000039270",0.0721022371965156,0.80040510260782,-0.74859868815657,0.233534097870172,0.855227946370707,0.999911594370444,0.100370010970619,0.398848551159459,1.60382663452728,0.758637679730347,0.84896869912719,0.524927506414674,-0.754857935400088
"ENSMUSG00000037996",0.0571476934781808,0.999985322605971,-0.153250149680527,0.100927426216046,-2.67086407866365,0.955937613196607,0.823672545540281,0.10790972843174,-2.51761392898312,0.88548231771447,0.976922695220808,0.0963103527566079,3.49453662420393
"ENSMUSG00000028582",0.00100524568834495,0.3304997972164,-0.77158434222471,0.146902102583931,-0.528312826052798,0.00366382695928791,-0.970788681056686,0.959529940760112,0.243271516171912,0.961145295061158,-0.199204338831975,0.13311882459402,-0.442475855003888
"ENSMUSG00000059027",0.00825518418501185,0.188506741081607,1.34404281079259,0.896326434680486,-0.613259683053943,0.0366158559479929,3.36611804759417,0.355853936679819,-1.95730249384653,0.505611815925907,2.02207523680158,0.202812569712594,3.97937773064811
"ENSMUSG00000028719",0.293318488417389,0.999275977451904,0.0764460421187393,0.903084076521253,-0.33515072836032,0.346229124640614,0.276978581256044,0.888542252987269,-0.411596770479059,0.968858206892461,0.200532539137305,0.620653150541546,0.612129309616364
"ENSMUSG00000042608",0.0259103955473945,0.360236631260086,-1.11776895438366,0.920483876582254,0.298668826300451,0.0974236738816188,-0.77508683346878,0.256410855196834,1.41643778068411,0.95100738117864,0.342682120914877,0.0328832301720556,-1.07375565976923
"ENSMUSG00000085334",0.0141532661473466,0.499767576092154,0.555079363411867,0.0635806679604817,-1.47070573442091,0.31883337069591,0.513841730152855,0.03513590423277,-2.02578509783278,0.999997875056383,-0.0412376332590128,0.0482599483528736,1.98454746457377
"ENSMUSG00000028795",2.16767876666527e-05,0.531122246018212,0.317920696227173,0.494575532337574,-0.280460442046237,0.0491583084205978,0.923663295619382,0.000780999077817257,-0.59838113827341,0.00117653169686494,0.605742599392209,5.28057399140636e-05,1.20412373766562
"ENSMUSG00000083816",0.000276410521178209,0.960536546943106,0.579825779175283,0.316910819356397,-1.26247390674456,0.0365208602372117,-1.58601345965601,0.115041980438625,-1.84229968591984,0.00101102157018984,-2.16583923883129,0.84932860529303,-0.32353955291145
"ENSMUSG00000037157",0.00911893275108427,0.842533399683631,-0.680118953806854,0.148138031042452,2.57857649531668,0.223417253194791,-1.52285009744898,0.169169285205702,3.25869544912353,0.618138693847386,-0.842731143642131,0.0757540880218086,-4.10142659276566
"ENSMUSG00000045349",0.258086792383199,0.678049230511793,-0.995950371523659,0.954416608311876,-0.577697133887981,0.325312148364674,-2.26055655703412,0.935967063841484,0.418253237635678,0.568240817316309,-1.26460618551046,0.43266426862415,-1.68285942314614
"ENSMUSG00000017264",0.00010652707326751,0.52491897106806,-0.518401611334192,0.999999997343316,0.0067067650192167,0.00137980163817952,-0.957470545378679,0.466413396977257,0.525108376353409,0.363128962104533,-0.439068934044487,0.000555917042897813,-0.964177310397896
"ENSMUSG00000041936",0.0292259232659226,0.213810282443043,-0.994348727433209,0.112105938697832,-0.668781491497733,0.171155917331232,-1.6655166410324,0.866102537547552,0.325567235935476,0.64619070771827,-0.671167913599189,0.360888149508191,-0.996735149534665
"ENSMUSG00000106918",0.0186474791597873,0.644763030744872,0.279248897692119,0.424097915057665,-0.654681819707985,0.0635733587476355,0.608477404333302,0.226104817332509,-0.933930717400104,0.483988831929448,0.329228506641183,0.139835362236379,1.26315922404129
"ENSMUSG00000105519",0.188983795078433,0.971033094802237,-0.870854803711738,0.228783924468818,-3.00559319512618,0.991673401521024,-0.515631188576567,0.324038158941032,-2.13473839141445,0.999518434658362,0.35522361513517,0.272129973008422,2.48996200654962
"ENSMUSG00000106538",0.0151358370527375,0.0658734403651245,3.14727618886773,0.997464862188892,-0.24745411901419,0.0703581765608086,3.15646389255366,0.179652135216378,-3.39473030788192,0.999999999998354,0.00918770368592776,0.182915828417182,3.40391801156785
"ENSMUSG00000106397",0.0154142255156079,0.22205539835972,2.2197285507763,0.487834763042799,1.20590239146828,0.130268285448067,4.99483866082803,0.600877449511626,-1.01382615930801,0.380652114355556,2.77511011005173,0.102414542539113,3.78893626935975
"ENSMUSG00000057068",0.0106707688199142,0.145645277204508,2.45492172546705,0.999999999049991,0.0193135107365473,0.0867446159717069,4.45137086048566,0.175808148808116,-2.4356082147305,0.381867866825607,1.99644913501861,0.106878202311375,4.43205734974912
"ENSMUSG00000034663",0.0855609073539077,0.450831514406835,-0.498274415781545,0.938015121340619,-0.169374233213119,0.126661070049743,-1.2932479999449,0.64029722309249,0.328900182568426,0.347249889158452,-0.794973584163356,0.180221980617275,-1.12387376673178
