,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5
ENSMUSG00000047712,16.84042079,17.37435626,16.69052653,16.6311191,20.29638589,45.06680099,16.95919554,34.33312644,22.91343676,14.26811109,22.34049185,19.50543922,63.4232075,6.311201721,11.16653414,35.14902236,63.28655051,11.88449612,47.63347948,159.2342292
ENSMUSG00000015305,370.4892575,229.1243231,270.9000845,306.9197434,257.0875546,369.2570145,323.4360863,372.3823714,424.7798661,363.2880592,818.0057014,354.3488126,298.1714431,290.3152791,401.9952291,472.4266903,748.056133,516.5794312,471.5714469,1182.79668
ENSMUSG00000097597,1.981225976,5.42948633,1.283886656,4.535759755,1.353092393,8.722606643,6.056855549,0,0.881286029,5.487735033,12.02949561,0,3.294712078,1.262240344,4.466613656,10.72343055,16.84606021,13.4690956,12.24860901,12.06319918
ENSMUSG00000060487,6.934290916,4.343589064,23.10995981,4.535759755,13.53092393,18.17209717,16.95919554,14.5255535,6.169002204,46.09697428,65.30297616,13.00362615,27.18137464,12.62240344,37.96621608,97.10662109,136.5896774,18.22289405,76.89404545,104.9498329
ENSMUSG00000019790,219.9160833,144.4243364,133.5242122,198.0615093,194.8453046,216.6113983,260.4447886,112.2429134,285.5366735,190.9731792,211.3754228,149.5417007,220.7457092,171.6646868,186.4811202,202.5536882,281.3747354,270.9665115,228.6407015,243.0734636
ENSMUSG00000050994,4.95306494,5.42948633,37.23271303,7.559599592,14.88401632,17.44521329,15.74782443,6.602524316,8.812860292,7.682829047,25.77749059,14.62907942,8.236780195,21.45808585,32.38294901,54.80864503,60.55475696,6.338397929,56.4796971,42.8243571
ENSMUSG00000019832,464.5974913,509.2858177,874.3268129,208.6449487,423.5179189,589.5028323,486.9711861,460.8561973,442.4055867,198.6560082,534.4533049,598.1668029,224.0404213,530.1409445,542.6935592,601.1078569,777.6505631,524.5024286,740.3603668,911.3746984
ENSMUSG00000019828,0,0,7.703319937,0,36.5334946,1.453767774,0,31.69211672,0,25.24358115,29.21448934,56.8908644,1.647356039,3.786721032,3.349960242,0,1.365896774,1.584599482,0,1.809479878
ENSMUSG00000090112,194.1601456,161.7986926,183.5957918,145.1443122,127.1906849,155.5531518,187.762522,79.23029179,234.4220838,162.436957,183.8794329,320.2142939,175.4434182,276.4306354,132.8817563,268.0857637,277.732344,283.6433073,203.4630052,155.6152695
ENSMUSG00000047648,219.9160833,213.9217614,123.253119,237.3714272,215.1416905,204.2543722,331.9156841,672.1369754,222.9653654,557.5538794,170.1314379,247.0688968,338.531666,262.5459916,175.314586,496.8522821,524.0490621,430.2187594,325.268617,318.4684585
ENSMUSG00000055493,92.12700788,49.95127424,96.29149922,28.72647845,40.59277178,18.89898106,20.59330887,52.82019453,28.20115293,133.9007348,51.55498118,45.51269152,509.8566941,84.57010306,54.71601729,8.936192125,14.11426666,57.8378811,12.92908729,25.33271829
ENSMUSG00000045455,12.87796884,17.37435626,12.83886656,9.07151951,10.82473914,6.541954982,14.53645332,21.12807781,7.931574263,0,0,9.752719612,4.942068117,2.524480688,6.699920485,4.765969133,0.910597849,5.546098188,3.402391392,9.650559347
ENSMUSG00000019820,263.5030548,171.571768,261.9128779,373.4442198,351.8040221,593.1372517,683.2133059,159.7810885,636.2885131,784.7461098,553.356798,414.4905835,840.1515799,310.5111247,532.6436785,634.4696409,807.2449932,972.1517824,905.0361102,603.7631192
ENSMUSG00000097378,13.86858183,17.37435626,26.96161978,9.07151951,17.59020111,8.722606643,13.32508221,5.282019453,22.03215073,6.58528204,25.77749059,16.25453269,2.471034059,20.19584551,20.09976145,12.51066897,21.85434838,9.507596894,10.88765245,12.66635914
ENSMUSG00000039232,10.89674287,9.773075394,17.97441319,10.58343943,14.88401632,24.71405215,9.690968878,27.73060213,16.74443455,20.85339313,15.46649435,6.501813075,27.18137464,2.524480688,25.68302852,69.70229857,63.28655051,21.39209301,41.50917498,117.0130321
ENSMUSG00000078348,515.1187537,669.9986131,508.4191159,648.613645,700.9018595,544.4360313,453.052795,455.5741778,352.5144117,406.0923925,713.1772397,629.050415,476.9095733,681.6097858,741.457867,445.0223678,418.8750106,468.249147,434.8256198,662.2696352
ENSMUSG00000019817,8.915516891,11.94486993,10.27109325,16.6311191,8.118554357,26.89470382,13.32508221,26.41009726,9.694146321,9.87792306,37.8069862,13.00362615,139.2015853,6.311201721,34.61625584,55.40439117,75.12432255,15.84599482,31.98247908,69.96655527
ENSMUSG00000019814,495.306494,487.5678724,301.7133642,461.1355751,273.3246633,276.9427609,737.7250058,338.049245,499.6891786,328.166555,185.5979323,359.2251724,346.7684462,289.0530388,294.7965013,483.1501209,441.6399568,647.3088885,515.1220567,465.0363286
ENSMUSG00000062866,111.9392676,124.8781856,145.0791922,63.50063657,82.53863596,210.7963272,138.0963065,92.43534043,133.9554764,209.6314783,140.9169486,86.14902324,304.7608672,63.11201721,98.26550044,181.1068271,277.732344,106.1681653,196.6582224,404.7203326
ENSMUSG00000019810,305.1088003,302.9653372,292.7261576,300.8720638,175.9020111,398.33237,293.1518086,147.8965447,253.8103764,115.2424357,242.3084116,118.6580886,196.8590467,138.8464379,195.4143475,425.3627451,580.0508299,175.8905425,491.9857952,624.8737177
ENSMUSG00000019809,626.0674084,708.0050174,679.1760412,539.7554109,446.5204896,340.1816591,570.5557927,413.3180222,607.2060741,160.241863,491.4908206,1025.661013,289.9346629,769.9666099,347.2792118,231.149503,208.5269074,285.2279068,322.5467039,173.1069083
ENSMUSG00000019808,126.7984625,125.9640829,91.15595259,107.3463142,48.71132614,102.4906281,161.1123576,110.9224085,151.581197,103.1694186,32.65148808,52.0145046,40.36022296,46.70289273,59.18263095,179.3195886,126.1178021,114.0911627,142.9004384,111.5845925
ENSMUSG00000019806,387.3296783,425.6717283,372.3271303,517.0766121,340.979283,420.1388866,260.4447886,252.2164289,284.6553874,187.6805381,341.9813752,281.2034155,220.7457092,215.8430988,362.9123596,194.8089883,210.3481031,212.3363306,219.1140056,145.3615502
ENSMUSG00000015501,151.5637872,159.6268981,82.168746,424.8494971,239.4973535,144.6498935,289.5176952,846.4436173,141.0057647,584.9925546,230.2789159,212.9343782,664.7081617,143.8953992,208.8141884,351.4902236,450.7459353,384.2653744,133.3737426,338.9758971
ENSMUSG00000039116,9.906129879,15.20256172,32.09716641,21.16687886,23.00257068,21.07963272,12.1137111,21.12807781,22.91343676,26.34112816,24.05899122,16.25453269,75.7783778,13.88464379,11.16653414,31.57454551,38.24510966,17.4305943,18.37291351,75.3949949
ENSMUSG00000019868,424.9729718,479.9665916,385.1659969,346.2296613,353.1571145,343.0891946,494.2394128,421.2410514,423.89858,291.9475038,317.922384,430.7451162,336.060632,352.165056,270.2301262,491.4905669,383.8169934,398.5267698,458.6423596,369.133895
ENSMUSG00000093798,31.69961561,19.54615079,21.82607316,31.75031829,64.94843485,14.53767774,33.91839107,26.41009726,32.60758308,20.85339313,27.49598996,52.0145046,42.007579,70.68545927,44.66613656,30.38305322,25.04144085,37.23808783,27.21913113,12.66635914
