"","KW_Pval","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000099413",0.58796721166081,1,0.131209833632348,1,0.241682244197365,1,1.02533654132344,1,0.110472410565017,1,0.894126707691097,1,0.783654297126079
"ENSMUSG00000109599",0.308737888451169,0.585092953900933,0.907809774244539,1,-0.0612355848032812,1,0.343765872693173,0.652856580243274,-0.96904535904782,1,-0.564043901551365,1,0.405001457496455
"ENSMUSG00000026104",0.0662923248588918,1,-0.623166309733784,0.0969415875670879,-0.948693793278048,0.170475483597854,-1.54392462796657,1,-0.325527483544264,1,-0.920758318232786,1,-0.595230834688521
"ENSMUSG00000026102",0.00235084754348633,0.22261320515682,0.629703295402479,1,-0.849365595785896,0.325916268762689,0.441336720583823,0.00804384670337688,-1.47906889118837,1,-0.188366574818656,0.0138785012176004,1.29070231636972
"ENSMUSG00000026095",0.00655225569626543,1,0.42045732135337,0.893766746843301,-0.409160693314011,0.325916268762689,0.882578444270136,0.112067095784955,-0.829618014667382,1,0.462121122916766,0.00455131944063285,1.29173913758415
"ENSMUSG00000026094",0.0563234906783188,0.325916268762689,-0.970932345687414,1,-0.187756869525817,0.170475483597854,-1.61147510741944,0.585092953900933,0.783175476161597,1,-0.640542761732022,0.325916268762689,-1.42371823789362
"ENSMUSG00000042807",0.118771208616383,0.585092953900933,-0.850276719738657,1,0.0335259158031032,0.523071818441571,-1.7128376673713,0.523071818441571,0.88380263554176,1,-0.862560947632645,0.466468454692816,-1.7463635831744
"ENSMUSG00000052331",0.0438203520219791,1,-0.383954556186002,0.195056667874317,-0.96658134556428,0.0617792938327117,-1.57793220690228,1,-0.582626789378278,0.652856580243274,-1.19397765071628,1,-0.611350861338004
"ENSMUSG00000103030",0.146174306559647,1,-0.82173782076078,0.414956951645842,-1.5548659915576,1,-0.378631425539434,0.368212974836413,-0.73312817079682,1,0.443106395221346,0.287752883586541,1.17623456601817
"ENSMUSG00000025981",0.0342143753285944,1,-0.257563462164506,0.112067095784955,-1.17784262234077,1,-0.0158601948400607,0.0617792938327118,-0.920279160176263,1,0.241703267324445,0.148610940055914,1.16198242750071
"ENSMUSG00000101122",0.00900519311487107,1,0.744892564257448,0.0969415875670879,-1.99131509350526,1,0.111863505466086,0.00804384670337687,-2.73620765776271,1,-0.633029058791362,0.0969415875670879,2.10317859897135
"ENSMUSG00000073676",0.0333409876343936,0.414956951645842,0.5868254324542,1,0.0408010974960322,0.0384566636927224,1.20121943022841,1,-0.546024334958168,1,0.614393997774208,0.253417121756203,1.16041833273238
"ENSMUSG00000025978",0.384630495610859,1,-0.333876540527513,0.726683205941114,-1.1610510131637,1,-0.569282058346363,1,-0.827174472636186,1,-0.23540551781885,1,0.591768954817336
"ENSMUSG00000046994",0.422560107563986,1,-0.599883552326382,1,0.0943102809961386,1,-0.659243666948045,1,0.69419383332252,1,-0.0593601146216631,0.806885880862891,-0.753553947944184
"ENSMUSG00000038349",0.239520156508187,1,-1.03834931832178,0.325916268762689,-1.50600780360221,0.726683205941114,-1.38265884220312,1,-0.467658485280431,1,-0.344309523881333,1,0.123348961399098
"ENSMUSG00000038331",0.0385285211016434,1,-0.61829581420087,0.726683205941115,1.39979700814269,1,-0.486027244121687,0.129218275666543,2.01809282234356,1,0.132268570079184,0.0451578909987473,-1.88582425226437
"ENSMUSG00000025971",0.00969699194678689,0.585092953900933,0.504213390316937,1,-0.646125217617058,0.170475483597854,0.743375209299605,0.0969415875670879,-1.15033860793399,1,0.239161818982668,0.0197007659164142,1.38950042691666
"ENSMUSG00000038305",0.01154191706471,0.806885880862891,-1.50398261070592,0.806885880862891,-1.35793578003274,0.00551751290674227,-3.5918104360025,1,0.146046830673175,0.414956951645842,-2.08782782529658,0.414956951645842,-2.23387465596976
"ENSMUSG00000026039",0.0335024750625554,0.227726426500814,-Inf,0.0975582820733128,-Inf,0.0525276902143985,-Inf,1,0.602191186448877,1,0.0419908500712852,1,-0.560200336377592
"ENSMUSG00000063558",0.196785749822121,0.523071818441571,-0.898561303868638,1,-0.0631758317475834,1,-0.374613826255536,0.652856580243274,0.835385472121055,0.325916268762689,0.523947477613102,1,-0.311437994507952
"ENSMUSG00000064294",0.0297502240721088,1,-0.304305611745525,0.726683205941115,-0.932992733625527,0.8937667468433,1.39479682361675,0.726683205941115,-0.628687121880002,0.8937667468433,1.69910243536228,0.0165572936118174,2.32778955724228
"ENSMUSG00000026034",0.0676526756040939,1,0.398298061701248,1,-0.856972514675233,1,0.0680989266669446,0.0617792938327117,-1.25527057637648,1,-0.330199135034304,0.368212974836413,0.925071441342178
"ENSMUSG00000102719",0.0537926388261611,1,-1.07444646781759,0.0451578909987474,-2.72816545553471,1,-0.806727857918352,0.325916268762689,-1.65371898771712,1,0.267718609899239,0.523071818441571,1.92143759761636
"ENSMUSG00000026027",0.149075989777365,1,0.138776692496322,1,-0.243046918753832,1,0.485540095438596,1,-0.381823611250154,1,0.346763402942275,0.129218275666543,0.728587014192428
"ENSMUSG00000041075",0.0871066112077347,0.287752883586541,0.609505991161286,1,-0.316595824701537,0.148610940055914,0.722081278417987,1,-0.926101815862823,1,0.112575287256701,0.893766746843301,1.03867710311952
"ENSMUSG00000026019",0.0853701147877836,0.414956951645842,-0.645254273942058,1,-0.0177766886281461,0.368212974836413,-0.507634691404672,0.466468454692816,0.627477585313912,1,0.137619582537387,0.414956951645842,-0.489858002776525
"ENSMUSG00000026014",0.161235724683794,0.98761342029669,0.17361122363388,0.170475483597854,-0.147236407307165,1,0.275101889838393,1,-0.320847630941045,1,0.101490666204513,0.98761342029669,0.422338297145558
"ENSMUSG00000025969",0.0508491766739951,0.585092953900933,1.01138543824281,1,0.56531807917455,1,-0.411197415230425,1,-0.446067359068258,0.0617792938327118,-1.42258285347323,0.287752883586541,-0.976515494404976
"ENSMUSG00000025968",0.13778666587133,1,-0.120551637686873,1,0.109540707535352,0.287752883586541,0.521273270124325,1,0.230092345222225,0.22261320515682,0.641824907811198,0.98761342029669,0.411732562588972
"ENSMUSG00000025964",0.221915819460487,1,-0.151885372085523,1,0.0514377691737058,0.523071818441571,-1.58413024561936,1,0.203323141259228,0.893766746843301,-1.43224487353384,0.368212974836413,-1.63556801479307
"ENSMUSG00000015222",0.335504171147816,1,-0.212616218932266,1,-0.6362887068731,0.80688588086289,-1.08378304682646,1,-0.423672487940834,1,-0.871166827894198,1,-0.447494339953364
"ENSMUSG00000055567",0.147585184676696,1,0.460857368532303,0.636874608844437,-1.40927237236711,1,1.81662173991805,0.508811066223936,-1.87012974089941,1,1.35576437138574,0.187276685230993,3.22589411228515
"ENSMUSG00000026004",0.850833321439559,1,-0.578340880343067,1,-0.374425367125822,1,-0.215847836506831,1,0.203915513217245,1,0.362493043836237,1,0.158577530618991
"ENSMUSG00000102559",0.0409857835343875,0.0836405535631547,-2.25761402518514,0.466468454692816,-1.12825971788831,0.0719772847482238,-1.54708432922726,1,1.12935430729684,1,0.710529695957879,1,-0.418824611338956
"ENSMUSG00000102776",0.090361064427916,0.803368401472881,-0.548629634856567,0.0827811717477642,-1.48163220342315,1,0.288247939398729,1,-0.93300256856658,1,0.836877574255296,0.64966417858568,1.76988014282188
"ENSMUSG00000061816",0.118116959644849,1,-5.01962770547319,1,-6.06759107603761,0.644871785182244,3.23815403878945,1,-1.04796337056442,0.433613532476087,8.25778174426264,0.135536095723669,9.30574511482706
"ENSMUSG00000026193",0.0828277377168885,1,0.283788790725546,1,0.284367282603373,0.195056667874317,1.00743070826267,1,0.000578491877826349,0.170475483597854,0.723641917537125,0.287752883586541,0.723063425659299
"ENSMUSG00000026189",0.00995656147005855,0.414956951645842,0.580960995985443,1,0.445408605587034,0.00804384670337687,2.72395223034481,1,-0.13555239039841,0.98761342029669,2.14299123435937,0.112067095784955,2.27854362475778
"ENSMUSG00000026185",0.67372468814516,1,-1.6639650288846,1,-4.14713631023893,1,0.173886301082188,1,-2.48317128135434,1,1.83785132996679,1,4.32102261132112
"ENSMUSG00000026177",0.0546237272368494,1,-0.748057046850019,1,0.0318533843849495,0.0969415875670879,-2.68479865562008,1,0.779910431234969,1,-1.93674160877006,0.129218275666543,-2.71665204000503
"ENSMUSG00000026175",0.00519679425115657,0.269641495738982,-3.88077169088675,1,0.0117361091300245,0.0299753439039902,-3.36130680032749,0.208037395083346,3.89250780001677,1,0.519464890559257,0.021393112806579,-3.37304290945752
"ENSMUSG00000026173",0.181237431198312,1,-1.01852366472956,0.253417121756203,-2.01747020810848,0.466468454692816,-1.74330233079433,1,-0.998946543378926,1,-0.724778666064773,1,0.274167877314153
"ENSMUSG00000006542",0.0719554842892034,0.220906340186637,-2.4474268845056,0.412448485919189,-4.11296049945199,0.0959839875784614,-2.84183614396263,1,-1.66553361494639,1,-0.394409259457028,1,1.27112435548936
"ENSMUSG00000026167",0.326776941337812,0.607990039406691,-2.9288900243281,1,-3.94474738415979,1,-2.69751507305525,1,-1.0158573598317,1,0.231374951272846,1,1.24723231110454
"ENSMUSG00000090071",0.2555577837877,1,0.314533519587765,1,-1.35546762192844,1,0.774622481150517,0.636874608844437,-1.6700011415162,1,0.460088961562752,0.402426868540374,2.13009010307896
"ENSMUSG00000026208",0.585554881349549,1,-2.86587915944713,1,-5.2693128359918,1,-0.873703709526868,1,-2.40343367654466,1,1.99217544992027,1,4.39560912646493
"ENSMUSG00000026207",0.104863035535106,1,-2.50572812574426,0.0836405535631546,-3.82295964848222,0.806885880862891,-1.06634296989296,1,-1.31723152273797,1,1.4393851558513,1,2.75661667858927
"ENSMUSG00000026211",0.402318820978644,1,-1.07795089793727,1,-1.27284153618635,0.523071818441571,-1.26429821348851,1,-0.194890638249081,1,-0.186347315551243,1,0.00854332269783725
"ENSMUSG00000047330",0.152779681733929,1,0.262093689369696,1,0.0874064619239615,0.652856580243274,-2.3863005698705,1,-0.174687227445735,0.523071818441571,-2.64839425924019,0.195056667874317,-2.47370703179446
"ENSMUSG00000026249",0.122362224330575,1,-0.194428311849861,0.129218275666543,-1.45815288507531,1,-0.258458126199893,0.98761342029669,-1.26372457322545,1,-0.064029814350032,0.466468454692816,1.19969475887541
"ENSMUSG00000038608",0.0199241924193869,1,-0.461457012801194,0.652856580243274,-0.671812305838462,0.0116022094398939,-2.24252587002584,1,-0.210355293037268,0.325916268762689,-1.78106885722464,0.80688588086289,-1.57071356418737
"ENSMUSG00000087008",0.0487178134785392,1,-0.902090111978246,0.402426868540374,3.11976238746076,1,-0.858047381280457,0.214114201221587,4.02185249943901,1,0.0440427306977891,0.0498791070110219,-3.97780976874122
"ENSMUSG00000067158",0.370959951027311,1,-1.05308909296547,0.585092953900933,-0.996596989402173,1,-0.578509889178108,1,0.0564921035632925,1,0.474579203787357,1,0.418087100224065
"ENSMUSG00000079465",0.0438203520219794,1,0.127687757528603,0.148610940055914,-1.56977555069819,1,0.333247069857039,0.148610940055914,-1.6974633082268,1,0.205559312328436,0.0836405535631547,1.90302262055523
"ENSMUSG00000026149",0.382878865831525,1,-1.67244739602326,0.798084691320829,-1.89513286022499,1,0.15338554697767,0.798084691320829,-0.222685464201731,1,1.82583294300093,1,2.04851840720266
"ENSMUSG00000026163",0.0504019571285168,1,0.39216822495384,0.379961476175628,-1.59705705619631,1,2.76737855870968,0.0975582820733128,-1.98922528115015,1,2.37521033375584,0.0975582820733128,4.36443561490599
"ENSMUSG00000036766",0.0940762623315155,1,0.423992299879148,0.412448485919189,-1.22141978181427,1,1.64833750260034,0.251560332954657,-1.64541208169342,1,1.22434520272119,0.147312581772903,2.86975728441461
"ENSMUSG00000073633",0.0133755539080947,0.652856580243274,0.505129981574206,0.195056667874317,1.02532081252224,0.00804384670337687,1.71709677456553,1,0.520190830948031,0.652856580243274,1.21196679299132,1,0.691775962043293
"ENSMUSG00000089844",0.787428715965896,1,0.321054645545837,1,-0.395684274026941,1,0.231359444657752,1,-0.716738919572778,1,-0.0896952008880847,1,0.627043718684693
"ENSMUSG00000072109",0.0340379270164557,1,-1.48107418763791,0.0836405535631547,-2.66110265055466,0.0719772847482238,-2.59888200373847,1,-1.18002846291674,0.98761342029669,-1.11780781610055,1,0.0622206468161888
"ENSMUSG00000026222",0.075631045020093,1,-0.319027009957163,1,-0.274115347092669,0.0836405535631546,-1.94513329264472,1,0.0449116628644939,1,-1.62610628268756,0.287752883586541,-1.67101794555205
"ENSMUSG00000036707",0.809547269193997,1,-0.0250107188197169,1,-0.176221212289022,1,-0.0819925162327942,1,-0.151210493469305,1,-0.0569817974130773,1,0.0942286960562282
"ENSMUSG00000049608",0.0249331253297748,0.726683205941114,-1.06732714116738,1,0.797136490324646,0.368212974836413,-1.8164096313212,0.129218275666543,1.86446363149202,1,-0.749082490153825,0.0528879294252797,-2.61354612164585
"ENSMUSG00000036480",0.0082357757851369,0.0700525012772837,-Inf,1,-Inf,0.0214038546281351,-Inf,0.437565076136284,7.28758066415032,1,4.00616902427494,0.173084689160896,-3.28141163987539
"ENSMUSG00000048000",0.0963112641952464,1,-0.343054406802949,0.253417121756203,-0.452796362157548,0.129218275666543,-0.697053994431744,1,-0.1097419553546,1,-0.353999587628795,1,-0.244257632274196
"ENSMUSG00000079434",0.233885627410338,1,0.696752028058977,1,-2.0800942238715,0.652856580243274,0.985064298075091,1,-2.77684625193047,1,0.288312270016114,0.652856580243274,3.06515852194659
"ENSMUSG00000026288",0.0127568834922973,0.253417121756203,-0.994758528988022,1,-0.49222053329529,0.0138785012176004,-3.28936208371392,1,0.502537995692732,1,-2.2946035547259,0.148610940055914,-2.79714155041863
"ENSMUSG00000090165",0.0132038014216397,1,0.408324503645947,0.021393112806579,3.11201731945426,0.0717847568298656,2.44984710071874,0.41432972650578,2.70369281580832,0.93886704950152,2.0415225970728,1,-0.66217021873552
