,Sample_600,Sample_601,Sample_602,Sample_616,Sample_617,Sample_603,Sample_604,Sample_605,Sample_606,Sample_621,Sample_607,Sample_608,Sample_609,Sample_610,Sample_623,Sample_611,Sample_612,Sample_613,Sample_614,Sample_615
ENSMUSG00000026159,464.8778767,113.4850886,279.9539633,414.3332358,207.7664135,197.3440105,236.9098595,89.25426472,381.2850562,196.8977595,183.1892886,200.1551367,243.0260022,155.6430152,149.2023021,357.6829523,193.6751705,10.26993099,205.7681579,190.0389362
ENSMUSG00000101784,26.61877412,16.21215551,5.924951603,48.1097833,9.095764647,25.85887034,95.77207085,0,10.59125156,6.491134929,23.27819689,13.22611035,1.029771196,33.51666546,32.5844108,30.68693617,72.81021446,0,0,16.69027605
ENSMUSG00000010609,101.721744,331.4485127,271.0665359,109.965219,158.4577946,141.5432903,282.2755773,473.7341743,196.5265567,179.5880664,184.2013841,142.8419918,146.2275098,329.091759,389.2979606,136.6624688,188.3357547,82.15944795,305.5834809,419.3287975
ENSMUSG00000038855,16.16139858,81.06077756,66.65570554,87.38307579,64.62780144,36.74681575,70.56889431,123.5828281,136.5094646,80.05733079,55.66525344,86.41058764,72.08398371,104.1111421,75.45863553,61.12539512,0.48540143,431.3371017,83.98700321,61.9266794
ENSMUSG00000104388,21.8654216,0,7.406189504,44.18245405,2.872346731,6.804965879,0,13.73142534,11.76805729,10.81855822,10.12095517,10.58088828,15.44656794,17.59624937,6.859875958,30.06574313,30.58029007,154.0489649,0,22.90596506
ENSMUSG00000045658,145.4525872,225.1688266,274.0290117,241.5307488,378.1923195,250.4227443,191.5441417,82.38855205,298.9086551,393.795519,321.8463744,183.4020636,200.8053832,302.4879058,387.5829916,110.0754067,150.4744432,51.34965497,299.1229422,481.1403715
ENSMUSG00000037035,135.9458821,127.8958935,93.31798775,40.2551248,74.20229054,84.3815769,95.77207085,6.865712671,25.88972604,134.1501219,76.9192593,98.7549573,110.1855179,67.45228924,94.32329442,21.49327918,43.68612868,10.26993099,202.5378885,25.4382828
ENSMUSG00000005886,697.7921503,252.1890857,333.2785277,926.8497028,517.501136,434.1568231,287.3162126,82.38855205,561.3363327,605.8392601,519.2050003,507.0008969,593.1482088,451.6370671,339.5638599,689.0273198,493.6532541,749.7049625,189.939838,553.0812166
ENSMUSG00000004451,96.01772095,115.2864392,114.0553184,77.56475267,65.58525035,77.57661102,45.36571777,6.865712671,171.8136364,93.03960065,136.6328948,119.0349932,169.9122473,68.91864335,25.72453484,105.9755326,171.3467047,51.34965497,153.7608213,61.69646869
ENSMUSG00000098923,42.7801727,144.108049,45.91837493,32.4004663,43.56392541,48.99575433,50.40635308,0,49.42584062,91.95774483,61.73782654,59.95836693,70.02444131,68.08072671,22.29459686,72.92806288,0,5.134965497,75.91132983,38.21497688
ENSMUSG00000026496,247.1743312,306.2296041,222.1856851,144.3293499,209.6813113,296.6965123,100.8127062,240.2999435,202.4105854,242.335704,192.2981483,298.0283533,361.4496897,177.0098895,270.9651003,288.2335705,344.6350151,25.67482748,273.9268413,236.5414984
ENSMUSG00000025935,280.4477988,299.0242017,524.3582169,262.1492274,420.3200716,298.0575055,110.8939768,130.4485407,633.1214822,418.6782029,453.4187917,434.6981603,799.1024479,528.5159185,337.8488909,285.9972755,216.4890377,30.80979298,545.9155209,534.2039388
ENSMUSG00000025937,1064.750965,2203.051799,1248.68355,1226.308558,1308.353936,986.7200524,488.9416249,308.9570702,1308.607971,1297.14513,1399.7281,1758.190936,1277.946054,1754.597437,1618.930726,721.7020737,760.6240404,528.9014462,2219.518073,2472.232751
ENSMUSG00000102982,4.753352522,0,2.962475802,15.709317,13.8830092,4.082979527,0,0,0,28.12825136,9.108859654,14.98959173,13.38702555,15.92041609,46.30416271,13.41776966,0,0,59.75998306,29.81228618
ENSMUSG00000067813,103.623085,84.66347879,170.3423586,42.21878943,185.2663641,63.96667926,141.1377886,13.73142534,118.8573786,116.8404287,197.3586258,84.64710626,24.7145087,69.96603915,186.9316198,26.4628235,174.2591133,15.40489649,123.3962893,44.20045518
ENSMUSG00000097711,9.506705045,28.8216098,31.10599592,14.72748468,8.617040192,16.33191811,45.36571777,0,0,29.21010718,9.108859654,29.09744278,0,0,29.15447282,17.1449279,12.62043717,5.134965497,67.18960257,27.39507379
ENSMUSG00000026219,1535.332865,1066.399563,1214.615079,1483.548624,1280.109193,1350.10523,922.4362614,460.0027489,1293.309496,1395.59401,1315.724172,1105.702826,1186.296418,999.0061098,955.2377271,1489.62091,1114.481683,308.0979298,823.7186854,1320.833915
ENSMUSG00000073633,6.654693531,5.404051837,7.406189504,19.63664625,9.095764647,8.165959055,0,102.9856901,12.94486302,30.291963,39.47172517,0,0,84.42010112,34.29937979,13.04505384,16.98905004,0,36.5020437,21.98512224
ENSMUSG00000026104,62.74425329,131.4985947,13.33114111,66.76459723,113.4576959,46.27376798,191.5441417,212.8370928,85.90681821,62.74763765,52.62896689,19.39829518,157.554993,27.02281153,137.1975192,51.18630648,81.06203877,107.8342754,1.292107742,115.6808788
ENSMUSG00000026383,184.4300779,163.9229057,211.8170198,311.240843,287.7133975,228.6468535,90.73143554,54.92570136,349.5113015,279.118802,324.882661,232.7795422,211.1030951,391.5165484,272.6800693,243.6319102,92.22627165,682.9504111,207.0602656,321.719459
ENSMUSG00000060743,274.7437758,407.1052384,361.4220478,176.7298162,155.5854479,259.9496966,75.60952962,123.5828281,194.1729453,229.3534342,232.7819689,239.8334677,357.3306049,278.1883233,217.8010617,175.0521986,121.8357589,415.9322052,624.7340931,264.3969936
ENSMUSG00000038806,115.9818015,225.1688266,108.1303668,164.9478285,89.04274865,137.4603108,100.8127062,116.7171154,136.5094646,144.9686801,67.81039965,97.87321661,192.5672136,98.8741631,132.0526122,158.0315093,177.6569233,354.3126193,104.983754,43.50982307
ENSMUSG00000026520,58.94157128,18.01350612,47.39961283,66.76459723,38.29795641,32.66383622,80.65016493,205.9713801,37.65778333,74.64805169,40.48382068,40.56007175,9.267940762,0.209479159,32.5844108,88.58212748,101.4488988,0,34.88690903,24.40233463
ENSMUSG00000026384,71.30028783,7.20540245,112.5740805,122.729039,72.76611718,42.19078845,0,6.865712671,95.32126404,110.3492938,82.9918324,149.8959173,29.86336468,28.48916564,58.30894564,75.16435782,0.48540143,0,118.5508853,20.02833126
ENSMUSG00000036975,40.87883169,18.01350612,0,85.41941117,38.29795641,38.10780892,5.040635308,13.73142534,36.4809776,62.74763765,62.74992206,57.31314486,15.44656794,32.67874882,37.72931777,27.82944818,42.22992439,441.6070327,17.12042758,40.51708392
